id_saida,id_animal,carimbo_ts,data_da_saida,motivo_da_saida,nome_do_adotante_tutor,telefone_de_contato,cidade_de_destino,bairro_de_destino,numero_do_imovel,tipo_do_imovel
ec341bbb,62b6246e,20/01/2026 14:02:10,20/01/2026,Adoção Definitiva,José Pedro da Mata,+55 (085) 99017-6691,Passo Fundo,Baleia,1,Sobrado
9ebb6ed9,75996da1,13/06/2026 11:13:36,13/06/2026,Lar Temporário,Alexandre Rodrigues,+55 (089) 95488-7827,Passo Fundo,Itatiaia,11,Apartamento
d683292d,1c15cd7d,05/12/2025 16:24:30,05/12/2025,Óbito,,,,,,
7aaff4a9,b071be18,31/01/2026 16:34:49,31/01/2026,Transferência,Ravy Gomes,+55 (50) 9 2645 6002,Passo Fundo,Vitoria Da Conquista,89,Sobrado
f033d02b,74150122,12/01/2026 11:15:32,12/01/2026,Transferência,Pedro Henrique Sales,+55 (65) 96788-6463,Passo Fundo,Boa Esperança,877,Sobrado
144d7284,40acdf9a,03/02/2026 18:51:55,03/02/2026,Lar Temporário,Sophie Casa Grande,+55 39 9 6960 2409,Passo Fundo,Aarão Reis,4,Apartamento
98fd109b,9f1c0e6f,05/06/2026 16:46:35,05/06/2026,Transferência,Maysa Dias,+55 17 9 5421 5220,Passo Fundo,Conjunto Paulo Vi,806,Sobrado
7abf4f55,e6cb3461,09/03/2026 15:55:02,09/03/2026,Lar Temporário,Lucas Gabriel Freitas,+55 41 9 9761 6178,Passo Fundo,Santa Amelia,97,Apartamento
c830232b,8e8fbbda,07/04/2026 12:50:57,07/04/2026,Adoção Definitiva,Dra. Brenda Porto,+55 15 91617-5042,Passo Fundo,Inconfidência,24,Kitnet
3880c493,ea829e0d,20/07/2025 14:37:59,20/07/2025,Lar Temporário,Igor Cavalcanti,+55 (86) 93071-0855,Passo Fundo,Providencia,7,Apartamento
dcea6e9d,c5c93812,26/05/2026 13:37:51,26/05/2026,Fuga,,,,,,
f459bd05,9e78eef2,31/03/2026 08:05:03,31/03/2026,Adoção Definitiva,Paulo Cassiano,+55 (30) 92589-8668,Passo Fundo,Vila Nova Cachoeirinha 1ª Seção,18,Kitnet
6ff5ae38,de74793b,10/03/2026 09:28:08,10/03/2026,Fuga,,,,,,
a8e269fe,32f4346f,05/05/2026 17:14:43,05/05/2026,Óbito,,,,,,
74068fbd,db987d2f,19/05/2026 15:59:39,19/05/2026,Óbito,,,,,,
da397e53,49f49538,23/05/2026 09:27:05,23/05/2026,Lar Temporário,Nicolas Cavalcanti,+55 03 95845 4245,Passo Fundo,Vila Aeroporto,92,Kitnet
2c1eaf93,8271b8d2,19/12/2025 11:41:46,19/12/2025,Fuga,,,,,,
964d1d44,ec17259b,28/01/2026 11:18:15,28/01/2026,Lar Temporário,Srta. Pietra Machado,+55 10 9 3265-9726,Passo Fundo,Engenho Nogueira,8,Kitnet
8b5bdb8f,7cc4a999,27/05/2026 15:22:48,27/05/2026,Adoção Definitiva,Eduarda Nascimento,+55 41 9 0954 8655,Passo Fundo,Cdi Jatoba,86,Sobrado
04d864da,67889971,22/01/2026 18:24:26,22/01/2026,Lar Temporário,Rafael Pacheco,+55 62 9 4340 8322,Passo Fundo,Cônego Pinheiro 2ª Seção,9,Kitnet
7e96d9e7,1847be9a,10/04/2026 14:39:43,10/04/2026,Lar Temporário,Aurora Pimenta,+55 (66) 99130-6230,Passo Fundo,Santa Cecilia,17,Casa
0273be81,c3928330,03/02/2026 17:35:55,03/02/2026,Lar Temporário,João Pedro Azevedo,+55 08 95450-1790,Passo Fundo,Vila Dos Anjos,66,Apartamento
41a7ba3c,11e45768,30/11/2025 15:37:29,30/11/2025,Óbito,,,,,,
3d38be9a,4cf4a51d,28/05/2026 16:53:05,28/05/2026,Adoção Definitiva,Maria Julia Freitas,+55 (042) 97946 6722,Passo Fundo,Sport Club,10,Sobrado
0854e86f,59a24199,05/06/2026 17:02:39,05/06/2026,Transferência,Daniel Cirino,+55 (059) 97737 3859,Passo Fundo,Jardim Leblon,6,Apartamento
01f50351,8c266363,14/06/2026 09:48:34,14/06/2026,Óbito,,,,,,
f4f484f9,bf1ec014,10/09/2025 08:46:46,10/09/2025,Transferência,Sophie Santos,+55 52 9 7216 8668,Passo Fundo,Leticia,68,Kitnet
8b8c17e3,64642d73,20/02/2026 11:02:42,20/02/2026,Transferência,Camila da Conceição,+55 19 9 0979-6934,Passo Fundo,Vila Maria,708,Sobrado
ffb126bd,7af4fff3,19/04/2026 11:15:26,19/04/2026,Adoção Definitiva,Arthur Pereira,+55 (098) 97929 5280,Passo Fundo,Vista Alegre,12,Sobrado
83b7f2cf,0f5f9747,29/01/2026 17:16:29,29/01/2026,Transferência,Henry Gabriel da Paz,+55 (033) 90431-8874,Passo Fundo,Flavio Marques Lisboa,4,Kitnet
d4bf788e,9f105079,02/03/2026 09:31:04,02/03/2026,Transferência,Noah Abreu,+55 (005) 97071-9053,Passo Fundo,Apolonia,95,Sobrado
ce934345,d9f466f2,03/03/2026 17:37:00,03/03/2026,Lar Temporário,Samuel Novais,+55 (57) 94977-8536,Passo Fundo,Horto Florestal,902,Sobrado
0dd9bed7,5836d133,05/04/2026 13:01:22,05/04/2026,Fuga,,,,,,
876ea9af,242227ff,01/11/2025 17:05:02,01/11/2025,Lar Temporário,Juan da Luz,+55 (018) 95550 5349,Passo Fundo,Palmeiras,64,Kitnet
68edad00,36a148dc,08/05/2026 11:13:55,08/05/2026,Adoção Definitiva,Bruno Alves,+55 06 91613 7658,Passo Fundo,São Jorge 2ª Seção,48,Apartamento
c7edbd9a,109d008e,06/06/2026 12:05:15,06/06/2026,Óbito,,,,,,
13a260d2,5d2d72c5,12/03/2026 11:36:31,12/03/2026,Adoção Definitiva,Marcela Moraes,+55 (041) 98323 9168,Passo Fundo,Santa Terezinha,15,Kitnet
f392f87a,358475e5,07/02/2026 16:21:13,07/02/2026,Óbito,,,,,,
1d96d9a4,18008b77,30/04/2026 09:25:01,30/04/2026,Transferência,Melissa Fernandes,+55 (01) 9 0918-5400,Passo Fundo,Salgado Filho,870,Apartamento
c50757e9,bf2c1143,30/12/2025 17:26:02,30/12/2025,Lar Temporário,Dom Pinto,+55 27 96361-6992,Passo Fundo,Vila Real 1ª Seção,25,Kitnet
