Carimbo de data/hora,Endereço de e-mail,Data de Entrada,Nome do Responsável,Sobrenome do Responsável,Espécie do animal,Sexo,Porte,Condição de Saúde  ,  Histórico/Observações do Resgate  
15/05/2026 21:02:21,victormantovanibspb123@gmail.com,15/05/2026,Victor ,Mantovani,Suíno,Macho,Grande,Ferido,"Porco roliço, machucado após lutar com cachorro que possuí raiva"
15/05/2026 21:16:16,michellynunessantos10@gmail.com,09/05/2026,Josefinha,Mantovani,Ave,Desconhecido,Pequeno,Desnutrido,"O PASSARO ESTAVA MACHUCADO
"
15/05/2026 21:26:46,victormntvn@gmail.com,15/05/2026,Mayra,Cardoso,Animal silvestres,Desconhecido,Grande,Desnutrido,Bicho preguiça resgatado da estrada
15/05/2026 21:30:51,victorg.mantovani7@gmail.com,06/05/2026,Jacinto,Leite,Ave,Macho,Grande,"Ferido, Doente",Avestruz correndo pelo centro da cidade
15/05/2026 22:51:06,victorg.mantovani7@gmail.com,13/10/2024,Martha,Martins,Gato,Macho,Médio,Saudável,Consulta de rotina
15/05/2026 22:51:51,victorg.mantovani7@gmail.com,15/05/2023,Neymar,Junior,Equino,Fêmea,Grande,Saudável,Exame de rotina
15/05/2026 22:55:12,victorg.mantovani7@gmail.com,13/05/2026,Pelé,Reis,Animal silvestres,Desconhecido,Médio,"Doente, Desnutrido",Macaco Mico Leão Dourado
15/05/2026 22:55:57,victorg.mantovani7@gmail.com,13/05/2025,Ronaldinho,Gaucho,Pet exótico,Desconhecido,Grande,Saudável,Ele levou apenas para exibição
15/05/2026 22:59:41,victorg.mantovani7@gmail.com,13/08/2024,Maradona,Da Silva,Bovino,Macho,Médio,"Ferido, Desnutrido",Boi encontrado ferido e desnutrido no meio da avenida
15/05/2026 23:00:38,victorg.mantovani7@gmail.com,11/05/2024,Leticia,Camargo,Cão,Macho,Médio,Doente,Cão doente
